ID,time,Observation,Observation_simBlq,popPred,indivPredMean,indivPredMode,censored,split,color,filter
14,32,1098.5,1098.5,43.656,35.5695,35.8483,0,All,#4682B4,0
14,34,1212.03,1212.03,55.2734,44.4621,44.8325,0,All,#4682B4,0
14,36,1298.09,1298.09,69.9834,55.5795,56.0699,0,All,#4682B4,0
15,22,309.68,309.68,13.4131,12.1971,12.0317,0,All,#4682B4,0
15,24,727.011,727.011,16.9879,15.315,15.0885,0,All,#4682B4,0
15,27,671.058,671.058,24.2023,21.5382,21.1802,0,All,#4682B4,0
15,28,870.732,870.732,27.233,24.1307,23.7149,0,All,#4682B4,0
15,32,1111.98,1111.98,43.656,38.0204,37.2726,0,All,#4682B4,0
15,34,1368.9,1368.9,55.2734,47.724,46.7273,0,All,#4682B4,0
15,36,1368.9,1368.9,69.9834,59.9059,58.5821,0,All,#4682B4,0
16,7,96.25,96.25,2.28534,2.50174,2.50073,0,All,#4682B4,0
16,10,184.96,184.96,3.25687,3.70623,3.70409,0,All,#4682B4,0
16,11,181.48,181.48,3.6647,4.22458,4.2219,0,All,#4682B4,0
16,13,338.69,338.69,4.64001,5.4889,5.48478,0,All,#4682B4,0
16,15,372.29,372.29,5.87482,7.13154,7.12538,0,All,#4682B4,0
16,17,578.81,578.81,7.43818,9.26576,9.25668,0,All,#4682B4,0
16,19,767.05,767.05,9.41758,12.039,12.0258,0,All,#4682B4,0
16,21,740.66,740.66,11.9239,15.642,15.6231,0,All,#4682B4,0
16,24,838.24,838.24,16.9877,23.1659,23.1338,0,All,#4682B4,0
16,27,1019.83,1019.83,24.2018,34.3084,34.255,0,All,#4682B4,0
17,7,36,36,2.28534,2.4261,2.44692,0,All,#4682B4,0
17,10,135,135,3.25687,3.5472,3.59076,0,All,#4682B4,0
17,11,204.77,204.77,3.6647,4.02561,4.08002,0,All,#4682B4,0
17,13,220.5,220.5,4.64001,5.18474,5.26765,0,All,#4682B4,0
17,15,329.6,329.6,5.87482,6.67753,6.8009,0,All,#4682B4,0
17,17,388.08,388.08,7.43818,8.60014,8.78043,0,All,#4682B4,0
17,19,650,650,9.41758,11.0765,11.3364,0,All,#4682B4,0
17,21,700.09,700.09,11.9239,14.2657,14.6361,0,All,#4682B4,0
17,24,1027,1027,16.9877,20.8514,21.4713,0,All,#4682B4,0
17,27,1468.82,1468.82,24.2018,30.4773,31.4985,0,All,#4682B4,0
18,7,120.79,120.79,2.28534,2.75058,2.73109,0,All,#4682B4,0
18,10,184.32,184.32,3.25687,4.24388,4.20098,0,All,#4682B4,0
18,11,213.16,213.16,3.6647,4.90345,4.84895,0,All,#4682B4,0
18,13,480.13,480.13,4.64001,6.54594,6.46004,0,All,#4682B4,0
18,15,522.45,522.45,5.87482,8.73848,8.6063,0,All,#4682B4,0
18,17,716.63,716.63,7.43818,11.6655,11.4657,0,All,#4682B4,0
18,19,1169.62,1169.62,9.41758,15.573,15.2752,0,All,#4682B4,0
18,21,1142,1142,11.9239,20.7895,20.3506,0,All,#4682B4,0
18,24,1335.1,1335.1,16.9877,32.0663,31.2937,0,All,#4682B4,0
18,27,1814.76,1814.76,24.2018,49.4605,48.1219,0,All,#4682B4,0
19,7,85,85,2.28534,2.53094,2.52503,0,All,#4682B4,0
19,10,244.69,244.69,3.25687,3.76817,3.75562,0,All,#4682B4,0
19,11,222.16,222.16,3.6647,4.30231,4.28655,0,All,#4682B4,0
19,13,279.3,279.3,4.64001,5.60845,5.58418,0,All,#4682B4,0
19,15,334.04,334.04,5.87482,7.31107,7.27458,0,All,#4682B4,0
19,17,465.49,465.49,7.43818,9.53054,9.47665,0,All,#4682B4,0
19,19,710,710,9.41758,12.4242,12.3457,0,All,#4682B4,0
19,21,720,720,11.9239,16.1961,16.0831,0,All,#4682B4,0
19,24,1266.13,1266.13,16.9877,24.106,23.9138,0,All,#4682B4,0
19,27,1526.26,1526.26,24.2018,35.8783,35.5567,0,All,#4682B4,0
20,7,67.76,67.76,2.28534,2.61781,2.57477,0,All,#4682B4,0
20,10,144,144,3.25687,3.95429,3.86174,0,All,#4682B4,0
20,11,248.29,248.29,3.6647,4.53665,4.41998,0,All,#4682B4,0
20,13,336,336,4.64001,5.97122,5.79017,0,All,#4682B4,0
20,15,441.45,441.45,5.87482,7.85939,7.58507,0,All,#4682B4,0
20,17,533.23,533.23,7.43818,10.3446,9.93635,0,All,#4682B4,0
20,19,948.71,948.71,9.41758,13.6159,13.0168,0,All,#4682B4,0
20,21,826.88,826.88,11.9239,17.9219,17.0523,0,All,#4682B4,0
20,24,898.54,898.54,16.9877,27.0627,25.5675,0,All,#4682B4,0
20,27,1767.87,1767.87,24.2018,40.8662,38.3347,0,All,#4682B4,0
21,22,461.186,461.186,13.4131,12.5073,12.4431,0,All,#4682B4,0
21,24,513.602,513.602,16.9879,15.7404,15.6522,0,All,#4682B4,0
21,26,721.857,721.857,21.5087,19.8031,19.6829,0,All,#4682B4,0
21,28,754.373,754.373,27.233,24.9145,24.7517,0,All,#4682B4,0
21,30,1073.72,1073.72,34.4804,31.3452,31.1258,0,All,#4682B4,0
21,32,1202.89,1202.89,43.656,39.4349,39.1406,0,All,#4682B4,0
21,34,1531.02,1531.02,55.2734,49.6127,49.2193,0,All,#4682B4,0
21,36,2352.58,2352.58,69.9834,62.4189,61.895,0,All,#4682B4,0
21,38,3214.68,3214.68,88.6094,78.5299,77.8343,0,All,#4682B4,0
22,22,444.36,444.36,13.4131,13.1282,12.7451,0,All,#4682B4,0
22,24,569.616,569.616,16.9879,16.5947,16.0672,0,All,#4682B4,0
22,26,996.203,996.203,21.5087,20.9699,20.2488,0,All,#4682B4,0
22,28,859.019,859.019,27.233,26.499,25.519,0,All,#4682B4,0
22,30,1021.95,1021.95,34.4804,33.4857,32.1607,0,All,#4682B4,0
22,32,1413.07,1413.07,43.656,42.3139,40.5302,0,All,#4682B4,0
22,34,1662.28,1662.28,55.2734,53.4697,51.078,0,All,#4682B4,0
22,36,2342.65,2342.65,69.9834,67.5678,64.3724,0,All,#4682B4,0
22,38,2799.1,2799.1,88.6094,85.3839,81.1268,0,All,#4682B4,0
23,22,314.691,314.691,13.4131,12.2702,12.1324,0,All,#4682B4,0
23,24,384.972,384.972,16.9879,15.4152,15.2263,0,All,#4682B4,0
23,26,744.246,744.246,21.5087,19.3602,19.1034,0,All,#4682B4,0
23,28,896.228,896.228,27.233,24.315,23.9678,0,All,#4682B4,0
23,30,1113.09,1113.09,34.4804,30.5378,30.0709,0,All,#4682B4,0
23,32,1364,1364,43.656,38.3523,37.7271,0,All,#4682B4,0
23,34,1589.5,1589.5,55.2734,48.1668,47.333,0,All,#4682B4,0
23,36,2015.06,2015.06,69.9834,60.4946,59.3864,0,All,#4682B4,0
23,38,2498.29,2498.29,88.6094,75.9764,74.5078,0,All,#4682B4,0
24,22,312.483,312.483,13.4131,11.9419,11.8095,0,All,#4682B4,0
24,24,471.756,471.756,16.9879,14.9658,14.7848,0,All,#4682B4,0
24,26,679.433,679.433,21.5087,18.7495,18.5041,0,All,#4682B4,0
24,28,751,751,27.233,23.49,23.1591,0,All,#4682B4,0
24,30,689.65,689.65,34.4804,29.4291,28.9851,0,All,#4682B4,0
24,32,971.676,971.676,43.656,36.8689,36.2759,0,All,#4682B4,0
24,34,1440.97,1440.97,55.2734,46.1898,45.4008,0,All,#4682B4,0
24,36,2150.86,2150.86,69.9834,57.8689,56.8228,0,All,#4682B4,0
24,38,2911.6,2911.6,88.6094,72.4994,71.1165,0,All,#4682B4,0
