ID,time,pop,popPred,indivPredMean,indivPredMode
1,26.021,21.56,21.56,21.7656,21.0847
1,26.08,21.7105,21.7105,21.9181,21.2308
1,26.0991,21.7596,21.7596,21.9678,21.2785
1,26.16,21.9164,21.9164,22.1266,21.4307
1,26.1775,21.9617,21.9617,22.1725,21.4747
1,26.24,22.1243,22.1243,22.3371,21.6325
1,26.2561,22.1663,22.1663,22.3797,21.6733
1,26.32,22.3341,22.3341,22.5496,21.8362
1,26.3349,22.3735,22.3735,22.5894,21.8743
1,26.4,22.546,22.546,22.7642,22.0418
1,26.414,22.5831,22.5831,22.8018,22.0778
1,26.48,22.7598,22.7598,22.9807,22.2493
1,26.4933,22.7954,22.7954,23.0168,22.2839
1,26.56,22.9756,22.9756,23.1993,22.4588
1,26.5728,23.0104,23.0104,23.2345,22.4924
1,26.64,23.1935,23.1935,23.42,22.6702
1,26.6526,23.228,23.228,23.4549,22.7036
1,26.72,23.4135,23.4135,23.6428,22.8836
1,26.7326,23.4483,23.4483,23.678,22.9174
1,26.8,23.6355,23.6355,23.8677,23.099
1,26.8128,23.6713,23.6713,23.904,23.1338
1,26.88,23.8596,23.8596,24.0947,23.3165
1,26.8933,23.8971,23.8971,24.1327,23.3529
1,26.96,24.0858,24.0858,24.3239,23.5359
1,26.9741,24.1258,24.1258,24.3644,23.5747
1,27,24.1998,24.1998,24.4393,23.6464
1,27.04,24.3142,24.3142,24.5552,23.7575
1,27.055,24.3574,24.3574,24.599,23.7993
1,27.12,24.5448,24.5448,24.7888,23.9811
1,27.1363,24.5919,24.5919,24.8365,24.0268
1,27.2,24.7775,24.7775,25.0246,24.2068
1,27.2177,24.8294,24.8294,25.0771,24.2571
1,27.28,25.0125,25.0125,25.2627,24.4347
1,27.2994,25.0699,25.0699,25.3208,24.4904
1,27.36,25.2497,25.2497,25.503,24.6647
1,27.3814,25.3135,25.3135,25.5676,24.7266
1,27.44,25.4892,25.4892,25.7456,24.8969
1,27.4636,25.5602,25.5602,25.8176,24.9658
1,27.52,25.7309,25.7309,25.9905,25.1313
1,27.546,25.81,25.81,26.0707,25.2081
1,27.6,25.9749,25.9749,26.2378,25.3679
1,27.6287,26.0631,26.0631,26.3271,25.4534
1,27.68,26.2213,26.2213,26.4874,25.6068
1,27.7117,26.3194,26.3194,26.5869,25.7019
1,27.76,26.47,26.47,26.7394,25.8479
1,27.7949,26.5791,26.5791,26.85,25.9536
1,27.84,26.721,26.721,26.9938,26.0912
1,27.8783,26.8421,26.8421,27.1164,26.2086
1,27.92,26.9744,26.9744,27.2506,26.3369
1,27.962,27.1084,27.1084,27.3864,26.4667
1,28,27.2303,27.2303,27.5098,26.5848
1,28.0459,27.3783,27.3783,27.6598,26.7283
1,28.08,27.4885,27.4885,27.7715,26.8351
1,28.1301,27.6516,27.6516,27.9368,26.9932
1,28.16,27.7492,27.7492,28.0357,27.0878
1,28.2146,27.9284,27.9284,28.2174,27.2615
1,28.24,28.0123,28.0123,28.3024,27.3428
1,28.2993,28.2089,28.2089,28.5016,27.5333
1,28.32,28.2779,28.2779,28.5716,27.6001
1,28.3842,28.493,28.493,28.7896,27.8086
1,28.4,28.5461,28.5461,28.8433,27.8599
1,28.4694,28.7809,28.7809,29.0813,28.0874
1,28.48,28.8167,28.8167,29.1177,28.1222
1,28.5549,29.0725,29.0725,29.3769,28.37
1,28.56,29.09,29.09,29.3946,28.3869
1,28.64,29.3658,29.3658,29.6742,28.6541
1,28.6406,29.368,29.368,29.6765,28.6562
1,28.72,29.6443,29.6443,29.9565,28.9238
