ID,time,Observation,median,piLower,piUpper,censored
19,15,334.04,4.30726,-358.211,333.862,0
19,17,465.49,33.1389,-419.685,446.597,0
19,19,710,-28.6082,-580.141,572.646,0
19,21,720,-23.5628,-759.414,822.334,0
19,24,1266.13,3.42535,-1124.86,1053.46,0
19,27,1526.26,48.8267,-1626.67,1673.66,0
20,7,67.76,13.1765,-128.116,142.625,0
20,10,144,6.74999,-190.513,195.003,0
20,11,248.29,8.56382,-216.488,265.376,0
20,13,336,14.9038,-271.579,295.876,0
20,15,441.45,-3.03172,-377.271,333.277,0
20,17,533.23,-35.9488,-474.015,465.016,0
20,19,948.71,9.55619,-594.202,592.897,0
20,21,826.88,38.7815,-701.334,820.543,0
20,24,898.54,11.9305,-1244.63,1172.51,0
20,27,1767.87,57.2315,-1417.1,1613.71,0
21,22,461.186,-4.90474,-918.904,869.475,0
21,24,513.602,13.3049,-1090.78,1133.84,0
21,26,721.857,-49.7711,-1425.47,1287.87,0
21,28,754.373,27.916,-1594.1,2141.01,0
21,30,1073.72,56.2182,-2334.95,2856.5,0
21,32,1202.89,-13.2882,-3100.95,2549.68,0
21,34,1531.02,-61.9422,-4106.63,3554.51,0
21,36,2352.58,32.282,-5313.72,5399.97,0
21,38,3214.68,64.0157,-5626.35,6725.54,0
22,22,444.36,-2.13483,-784.924,895.536,0
22,24,569.616,-0.183319,-1296.44,965.427,0
22,26,996.203,23.0754,-1167,1505.69,0
22,28,859.019,15.4523,-1695.76,1952.88,0
22,30,1021.95,9.4643,-2234.37,2307.81,0
22,32,1413.07,77.1047,-2882.34,2613.77,0
22,34,1662.28,-144.007,-4107.64,3376.09,0
22,36,2342.65,-56.2524,-4786.77,5585.73,0
22,38,2799.1,-76.4279,-5980.42,6191.91,0
23,22,314.691,47.5838,-826.091,903.024,0
23,24,384.972,7.02937,-1031.88,1080.5,0
23,26,744.246,67.2858,-1381.79,1482.35,0
23,28,896.228,151.059,-1884.69,1841.74,0
23,30,1113.09,-47.0804,-2354.23,2296.84,0
23,32,1364,-7.81348,-3017.81,2680.31,0
23,34,1589.5,88.5541,-3823.32,3592.6,0
23,36,2015.06,-41.4298,-4519.34,5005,0
23,38,2498.29,-232.467,-6276.88,6149.1,0
24,22,312.483,-16.234,-809.033,831.596,0
24,24,471.756,38.6766,-976.688,1117.96,0
24,26,679.433,-14.6369,-1269.35,1395.58,0
24,28,751,28.7587,-1695.44,2065.3,0
24,30,689.65,111.451,-2435.73,2302.99,0
24,32,971.676,63.529,-2904.31,3166.82,0
24,34,1440.97,145.098,-3193.11,3621.63,0
24,36,2150.86,60.4963,-5229.03,5297.99,0
24,38,2911.6,56.884,-6225.3,5911.64,0
25,22,217.333,38.5868,-798.894,893.722,0
25,24,234.968,-62.239,-1162.83,1125.25,0
25,26,496.419,50.3241,-1471.25,1381.75,0
25,28,696.513,44.9755,-1646.02,1798.1,0
25,30,558.094,24.0591,-2038.28,2364.24,0
25,32,778.911,-74.6328,-2859.51,2881.02,0
25,34,1435.82,88.7462,-3737.46,3475.85,0
25,36,1877.42,-54.738,-4484.71,4412.1,0
25,38,2219.14,-272.704,-6137.62,5600.98,0
26,22,136.022,1.7845,-867.89,1013.92,0
26,24,234.967,1.33481,-1268.23,1207.05,0
26,26,336.306,38.5577,-1351.19,1448.04,0
26,28,548.517,56.2856,-1686.73,1860.31,0
26,30,616.095,-2.13078,-2260.79,2293.29,0
26,32,803.809,1.87915,-2917.34,2906.96,0
26,34,964.06,3.57005,-3603.9,3600.03,0
26,36,1299.3,-39.6305,-5111.81,5165.77,0
26,38,1326.3,-147.511,-5755.14,7123.41,0
27,14,272.653,-2.29965,-282.025,286.516,0
27,16,429.731,25.3488,-376.494,421.199,0
27,19,616.786,32.002,-649.394,650.881,0
27,21,755.993,-8.41543,-754.68,742.269,0
27,23,963.317,7.63301,-888.874,933.036,0
27,26,1139.88,47.3359,-1383.32,1469.92,0
27,28,960.132,51.7522,-1821.55,1687.32,0
27,30,1208.12,-51.392,-2279.88,2268.03,0
27,33,1615.89,155.196,-3175.71,3027.08,0
27,34,1698.66,-19.5979,-3450.73,3887.25,0
28,14,238.706,3.25045,-335.889,322.115,0
28,16,346.218,23.1043,-355.579,454.905,0
28,19,534.13,8.01716,-548.74,620.931,0
28,21,585.63,30.2617,-793.839,863.715,0
28,23,666.695,13.3164,-904.873,1005.6,0
28,26,947.3,-15.1873,-1354.7,1510.35,0
28,28,653.934,76.0183,-1790.82,1662.85,0
28,30,1036.18,59.5073,-2341.91,2066.96,0
28,33,1131.25,159.833,-3298.76,3375.91,0
28,34,1180.89,56.4263,-3820.59,4013.4,0
29,14,285.405,8.75873,-355.638,347.907,0
29,16,330.377,-0.144885,-427.702,392.197,0
29,19,467.478,50.2486,-552.958,627.864,0
29,21,730.635,47.792,-682.585,819.335,0
29,23,901.192,6.29458,-1028.84,1076.11,0
29,26,1010.45,-35.3403,-1421.33,1618.51,0
29,28,1156,18.5236,-1822.45,1917.83,0
29,30,1565.99,89.5767,-2040.91,2348.92,0
29,33,1702.25,-105.6,-3750.81,3097.52,0
29,34,1332.76,28.406,-3872.7,3975.68,0
30,14,362.172,31.2395,-319.258,352.275,0
30,16,465.869,-12.691,-416.742,443.231,0
30,19,431.103,-2.77707,-589.593,638.646,0
30,21,549.99,17.4372,-725.374,752.498,0
30,23,866.117,28.1362,-1039.45,1032.89,0
30,26,970.033,-21.6406,-1400.91,1344.9,0
30,28,941.481,42.4455,-1675.9,1842.25,0
30,30,1579.42,29.7719,-2353.58,2443.17,0
30,33,2169.58,133.312,-3047.79,3205.12,0
30,34,1429.82,-59.4334,-3435.34,3558,0
31,14,151.217,11.8109,-334.808,330.014,0
31,16,343.254,10.9252,-396.797,418.71,0
31,19,378.444,22.3278,-635.56,653.307,0
31,21,629.958,13.739,-725.231,706.615,0
31,23,765.333,11.1728,-897.633,960.381,0
31,26,990.541,12.23,-1376.99,1619.85,0
31,28,913.877,71.0684,-1716.1,1959.12,0
31,30,1533.98,10.2578,-2119.88,2403.32,0
31,33,1843.44,37.1121,-3392.12,3014.69,0
31,34,1381.17,114.828,-3432.6,3600.38,0
32,14,69.171,12.648,-285.43,299.76,0
32,16,182.773,3.19473,-384.954,409.261,0
32,19,330.865,31.9127,-536.454,610.895,0
32,21,372.006,16.7349,-783.05,755.429,0
32,23,866.717,36.5894,-1025.93,1052.91,0
32,26,880.606,-40.5686,-1328.14,1495.5,0
32,28,624.262,52.3146,-1873.64,1661.57,0
32,30,767.936,61.7962,-2491.1,2256.27,0
32,33,1034.18,164.9,-3065.51,3403.27,0
32,34,707.507,100.034,-3759.37,3725.02,0
33,11,56.79,12.0859,-232.158,234.413,0
33,12,48.76,2.74037,-248.479,266.734,0
33,13,59.59,5.89497,-278.536,309.316,0
33,14,105.97,16.8769,-330.756,309.837,0
33,17,202.58,-18.3029,-437.348,471.524,0
33,18,252.81,-6.44432,-507.584,520.386,0
33,19,266.9,-7.1594,-568.029,590.493,0
33,20,437.44,-10.9293,-682.931,616.77,0
33,25,679.79,10.6524,-1408.96,1238.04,0
33,26,425.72,20.3136,-1502.96,1257.5,0
33,27,785.82,31.3432,-1593.29,1561.59,0
33,28,795.67,68.1626,-1786.84,1723.94,0
33,32,1101.41,129.948,-2677.56,2797.31,0
33,33,1257.28,124.565,-2671.81,3674.12,0
33,34,1260.9,154.923,-3495.69,3896.37,0
34,11,0,-3.8105,-234.874,223.306,0
34,12,71.36,15.5236,-244.973,301.464,0
34,13,172.99,-1.47829,-259.323,302.375,0
34,14,168.64,13.8179,-302.488,354.504,0
34,17,246.23,29.033,-415.909,522.145,0
34,18,268.62,37.7553,-517.96,585.265,0
34,19,305.92,12.3919,-601.449,643.615,0
34,20,334.46,15.7405,-680.433,605.565,0
34,25,575.03,48.9257,-1323.57,1339.55,0
34,26,708.31,35.1149,-1365.15,1482.72,0
34,27,761.83,85.2096,-1640.86,1792.93,0
34,28,816.5,-0.143082,-1963.75,1739.85,0
34,32,864.2,129.821,-3205.05,2855.95,0
34,33,965.91,114.984,-2950.1,3555.97,0
34,34,965.06,115.539,-3654.11,3970.87,0
35,11,66.99,10.2211,-224.049,244.036,0
35,12,98.72,6.75152,-265.174,231.61,0
35,13,123.34,1.13353,-279.551,303.742,0
35,14,123.04,16.5643,-256.569,315.354,0
35,17,207.6,5.32758,-409.854,439.719,0
35,18,275.11,-2.61124,-606.688,524.841,0
35,19,368.24,2.39241,-517.52,634.279,0
35,20,380.36,-39.7184,-732.666,659.431,0
35,25,709.08,-49.5028,-1270.36,1211.06,0
35,26,733.74,-17.2632,-1245.33,1531.2,0
35,27,685,-17.7471,-1862.92,1490.32,0
35,28,842.32,57.5348,-1713.84,2069.18,0
35,32,1121.91,53.3576,-2814.16,2940.62,0
35,33,1222.6,25.9736,-3473.48,3206.93,0
35,34,1162.52,13.1577,-3750.61,3497.29,0
36,11,50.67,7.80186,-214.721,226.41,0
36,12,75.35,13.6714,-221.961,248.471,0
36,13,68.59,8.29146,-291.5,325.912,0
36,14,95.24,6.56291,-305.112,334.852,0
36,17,221.76,-15.1939,-492.9,521.325,0
36,18,284.99,14.6665,-499.922,521.929,0
36,19,390.52,-13.0911,-661.356,574.677,0
36,20,311.91,-37.0181,-644.949,692.977,0
36,25,926.84,40.3886,-1231.09,1334.04,0
36,26,794.18,32.6062,-1428.15,1344.88,0
36,27,784.41,3.58182,-1443.34,1572.61,0
36,28,748.5,-43.1168,-2066.25,1591.77,0
