pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
0.520031,0.158163,0.634482,0.158163,0.562092,0.158163,All
0.522693,0.159864,0.637955,0.159864,0.563391,0.159864,All
0.527398,0.161565,0.638106,0.161565,0.565537,0.161565,All
0.531798,0.163265,0.639595,0.163265,0.566812,0.163265,All
0.53351,0.164966,0.64003,0.164966,0.571997,0.164966,All
0.533734,0.166667,0.642813,0.166667,0.572572,0.166667,All
0.535689,0.168367,0.643052,0.168367,0.57461,0.168367,All
0.538083,0.170068,0.643393,0.170068,0.575684,0.170068,All
0.539178,0.171769,0.652247,0.171769,0.577234,0.171769,All
0.540827,0.173469,0.653786,0.173469,0.578927,0.173469,All
0.542804,0.17517,0.654107,0.17517,0.580487,0.17517,All
0.54324,0.176871,0.655338,0.176871,0.58074,0.176871,All
0.546889,0.178571,0.657579,0.178571,0.585157,0.178571,All
0.546892,0.180272,0.659773,0.180272,0.587922,0.180272,All
0.547671,0.181973,0.660788,0.181973,0.588083,0.181973,All
0.547996,0.183673,0.661432,0.183673,0.588778,0.183673,All
0.548676,0.185374,0.662408,0.185374,0.588965,0.185374,All
0.550341,0.187075,0.662706,0.187075,0.592206,0.187075,All
0.552335,0.188776,0.664478,0.188776,0.593001,0.188776,All
0.553662,0.190476,0.667689,0.190476,0.596076,0.190476,All
0.554028,0.192177,0.66779,0.192177,0.598068,0.192177,All
0.555443,0.193878,0.66787,0.193878,0.598796,0.193878,All
0.555723,0.195578,0.669834,0.195578,0.601725,0.195578,All
0.555939,0.197279,0.670849,0.197279,0.603302,0.197279,All
0.557836,0.19898,0.671274,0.19898,0.605051,0.19898,All
0.559391,0.20068,0.672124,0.20068,0.608972,0.20068,All
0.559674,0.202381,0.673209,0.202381,0.610423,0.202381,All
0.559793,0.204082,0.675983,0.204082,0.611097,0.204082,All
0.55996,0.205782,0.679482,0.205782,0.613039,0.205782,All
0.560225,0.207483,0.680008,0.207483,0.613906,0.207483,All
0.561392,0.209184,0.682335,0.209184,0.616678,0.209184,All
0.561481,0.210884,0.683857,0.210884,0.617786,0.210884,All
0.564587,0.212585,0.68547,0.212585,0.61891,0.212585,All
0.564873,0.214286,0.689465,0.214286,0.619546,0.214286,All
0.565366,0.215986,0.690518,0.215986,0.621379,0.215986,All
0.56627,0.217687,0.692601,0.217687,0.622009,0.217687,All
0.56712,0.219388,0.693012,0.219388,0.622011,0.219388,All
0.567451,0.221088,0.693102,0.221088,0.63015,0.221088,All
0.569063,0.222789,0.694074,0.222789,0.636616,0.222789,All
0.570265,0.22449,0.697191,0.22449,0.639672,0.22449,All
0.57302,0.22619,0.697589,0.22619,0.640261,0.22619,All
0.574696,0.227891,0.699286,0.227891,0.643408,0.227891,All
0.576121,0.229592,0.7025,0.229592,0.644608,0.229592,All
0.57779,0.231293,0.704921,0.231293,0.652094,0.231293,All
0.578532,0.232993,0.705188,0.232993,0.655158,0.232993,All
0.580895,0.234694,0.705446,0.234694,0.655188,0.234694,All
0.580967,0.236395,0.705672,0.236395,0.655468,0.236395,All
0.581391,0.238095,0.706276,0.238095,0.655504,0.238095,All
0.581628,0.239796,0.708879,0.239796,0.656556,0.239796,All
0.581888,0.241497,0.711701,0.241497,0.657914,0.241497,All
0.58837,0.243197,0.71746,0.243197,0.65813,0.243197,All
0.588616,0.244898,0.717598,0.244898,0.658173,0.244898,All
0.595894,0.246599,0.72199,0.246599,0.658263,0.246599,All
0.597042,0.248299,0.726596,0.248299,0.660328,0.248299,All
0.597709,0.25,0.727551,0.25,0.663114,0.25,All
0.600155,0.251701,0.727637,0.251701,0.665356,0.251701,All
0.600792,0.253401,0.728303,0.253401,0.665451,0.253401,All
0.604479,0.255102,0.728663,0.255102,0.665704,0.255102,All
0.60574,0.256803,0.729128,0.256803,0.667801,0.256803,All
0.606615,0.258503,0.731234,0.258503,0.66897,0.258503,All
0.607131,0.260204,0.731793,0.260204,0.669989,0.260204,All
0.609499,0.261905,0.738517,0.261905,0.671758,0.261905,All
0.610929,0.263605,0.741568,0.263605,0.673771,0.263605,All
0.614161,0.265306,0.743156,0.265306,0.673899,0.265306,All
0.615615,0.267007,0.747084,0.267007,0.674247,0.267007,All
0.616736,0.268707,0.747644,0.268707,0.676107,0.268707,All
0.617314,0.270408,0.748788,0.270408,0.676381,0.270408,All
0.617746,0.272109,0.748839,0.272109,0.67883,0.272109,All
0.618611,0.27381,0.750687,0.27381,0.680437,0.27381,All
0.619782,0.27551,0.750829,0.27551,0.680501,0.27551,All
0.621049,0.277211,0.752055,0.277211,0.681483,0.277211,All
0.621525,0.278912,0.752131,0.278912,0.682428,0.278912,All
0.622161,0.280612,0.754282,0.280612,0.684223,0.280612,All
0.62501,0.282313,0.754916,0.282313,0.687761,0.282313,All
0.62818,0.284014,0.755436,0.284014,0.689495,0.284014,All
0.629198,0.285714,0.755491,0.285714,0.691337,0.285714,All
0.631455,0.287415,0.756139,0.287415,0.694259,0.287415,All
0.634789,0.289116,0.756802,0.289116,0.695021,0.289116,All
