rep,id,V0,a
1,1,1,0.123783301038818
1,2,1,0.118336038559673
1,3,1,0.124555231017116
1,4,1,0.107150443797318
1,5,1,0.111968992081245
1,6,1,0.107491202408829
1,7,1,0.121255246314058
1,8,1,0.113853423139402
1,9,1,0.107550752207723
1,10,1,0.115127782402048
1,11,1,0.106501163143161
1,12,1,0.107708709174956
1,13,1,0.116730025869321
1,14,1,0.109378072207141
1,15,1,0.118211085938824
1,16,1,0.134694166994658
1,17,1,0.119889730636026
1,18,1,0.126986989139478
1,19,1,0.129614557767663
1,20,1,0.134729125462771
1,21,1,0.115343985653714
1,22,1,0.119504907486566
1,23,1,0.112629156929765
1,24,1,0.111200651018431
1,25,1,0.110707547920014
1,26,1,0.110449876977434
1,27,1,0.123685555613656
1,28,1,0.110901804551769
1,29,1,0.12738640558552
1,30,1,0.125761108364472
1,31,1,0.117916802427211
1,32,1,0.116550508761508
1,33,1,0.105553637737271
1,34,1,0.106089411453578
1,35,1,0.105529655299029
1,36,1,0.104906662591022
1,37,1,0.114671217456884
1,38,1,0.119240100727122
1,39,1,0.109255707885012
1,40,1,0.098147142201054
1,41,1,0.110843662997035
1,42,1,0.112872989198311
1,43,1,0.106512437908681
1,44,1,0.124841909702546
1,45,1,0.132792348173707
1,46,1,0.129940712924324
1,47,1,0.11625500224293
1,48,1,0.121455344932242
1,49,1,0.103834331219867
1,50,1,0.119523759008733
1,51,1,0.112167873149676
1,52,1,0.125714428700986
1,53,1,0.133460646264608
1,54,1,0.128659790734666
1,55,1,0.101676537052661
1,56,1,0.126239918061188
1,57,1,0.113039189566858
1,58,1,0.131060660885412
1,59,1,0.122605655206337
1,60,1,0.123747479937045
1,61,1,0.105914711106145
1,62,1,0.106721315538286
1,63,1,0.120410770952612
1,64,1,0.117936219321315
1,65,1,0.126032815560034
