rep,id,eta_V0,eta_a
1,1,0,0.0481921150315512
1,2,0,0.00318801209354724
1,3,0,0.0544088906406706
1,4,0,-0.0961064857769203
1,5,0,-0.0521183729742778
1,6,0,-0.092931343358706
1,7,0,0.0275574479309806
1,8,0,-0.0354284903617734
1,9,0,-0.0923774998027218
1,10,0,-0.0242976867064169
1,11,0,-0.102184442898237
1,12,0,-0.0909099034929461
1,13,0,-0.0104765522388277
1,14,0,-0.0755299164858054
1,15,0,0.00213154072248001
1,16,0,0.132666429281211
1,17,0,0.0162320594376228
1,18,0,0.0737442839697149
1,19,0,0.0942247565438858
1,20,0,0.132925935190963
1,21,0,-0.0224215062361539
1,22,0,0.0130170878414262
1,23,0,-0.0462397247964739
1,24,0,-0.0590041132384651
1,25,0,-0.0634483285706153
1,26,0,-0.0657785334849854
1,27,0,0.0474021535667624
1,28,0,-0.0616951834136703
1,29,0,0.0768846813743296
1,30,0,0.0640437924526776
1,31,0,-0.000361037905259209
1,32,0,-0.0120156188697642
1,33,0,-0.111121111231593
1,34,0,-0.106058106678808
1,35,0,-0.111348343221394
1,36,0,-0.117269322397663
1,37,0,-0.0282712944783383
1,38,0,0.0107987640321241
1,39,0,-0.07664927082212
1,40,0,-0.183872545868972
1,41,0,-0.0622195824619083
1,42,0,-0.0440771523530512
1,43,0,-0.102078583314862
1,44,0,0.056707864966254
1,45,0,0.118446266688283
1,46,0,0.0967379424827501
1,47,0,-0.0145542759316992
1,48,0,0.0292063142823973
1,49,0,-0.127543689542681
1,50,0,0.0131748222461137
1,51,0,-0.0503437329977521
1,52,0,0.0636725462903955
1,53,0,0.123466300327927
1,54,0,0.0868312899626358
1,55,0,-0.148543780529441
1,56,0,0.0678438585055443
1,57,0,-0.0426057806063884
1,58,0,0.105319926695747
1,59,0,0.038632800212925
1,60,0,0.0479026875762512
1,61,0,-0.107706191488358
1,62,0,-0.100119440420841
1,63,0,0.0205686390926321
1,64,0,-0.000196385411057154
1,65,0,0.0662019644751641
