time_pwRes,time_pwRes_spline,time_iwRes,time_iwRes_spline,time_npde,time_npde_spline,prediction_pwRes,prediction_pwRes_spline,prediction_iwRes,prediction_iwRes_spline,prediction_npde,prediction_npde_spline,split
17.54,0.985431,17.54,0.985248,17.54,0.997686,23.747,0.908719,22.9037,0.935934,23.747,0.952873,All
18.0519,0.976103,18.0519,0.989521,18.0519,0.992676,24.7296,0.868589,23.0021,0.936341,24.7296,0.917543,All
18.16,0.982123,18.16,0.993416,18.16,0.998722,25.5493,0.868806,24.4773,0.933208,25.5493,0.920305,All
18.6731,1.01068,18.6731,1.0119,18.6731,1.02741,26.4561,0.869045,24.6706,0.931846,26.4561,0.923359,All
18.78,1.01664,18.78,1.01575,18.78,1.03339,27.4885,0.828479,26.0509,0.92077,27.4885,0.880893,All
19.3157,1.01074,19.3157,1.01908,19.3157,1.03108,28.1826,0.82664,26.46,0.917701,28.1826,0.879504,All
19.4,1.0059,19.4,1.01785,19.4,1.02717,29.5747,0.822951,27.6245,0.911146,29.5747,0.876717,All
19.9803,0.972549,19.9803,1.0094,19.9803,1.0003,29.909,0.822065,28.3793,0.909216,29.909,0.876048,All
20.02,0.972891,20.02,1.00952,20.02,1.00073,31.6355,0.819732,29.1981,0.909883,31.6355,0.876745,All
20.64,1.01849,20.64,1.02192,20.64,1.04205,31.8194,0.81966,30.4377,0.913212,31.8194,0.877146,All
20.6679,1.02054,20.6679,1.02248,20.6679,1.04391,33.362,0.819055,30.7717,0.913899,33.362,0.880513,All
21.26,1.00451,21.26,1.00501,21.26,1.02888,34.2343,0.818714,32.3453,0.910564,34.2343,0.882416,All
21.3792,0.985973,21.3792,0.993952,21.3792,1.01185,35.0885,0.804832,32.6455,0.907999,35.0885,0.869565,All
21.88,0.908049,21.88,0.947488,21.88,0.940272,36.815,0.783406,33.9189,0.891923,36.815,0.850902,All
22.1149,0.901129,22.1149,0.945121,22.1149,0.93516,36.8326,0.783186,35.0133,0.876944,36.8326,0.850711,All
22.5,0.940531,22.5,0.97451,22.5,0.975522,38.5414,0.761979,35.4925,0.871784,38.5414,0.83224,All
22.8759,0.978985,22.8759,1.00319,22.8759,1.01491,39.6281,0.748493,37.0661,0.867287,39.6281,0.820493,All
23.12,0.981655,23.12,1.0054,23.12,1.01897,40.2679,0.740553,37.553,0.868981,40.2679,0.813577,All
23.6631,0.936269,23.6631,0.972546,23.6631,0.978477,41.9944,0.719127,38.6397,0.87373,41.9944,0.794915,All
23.74,0.929842,23.74,0.967894,23.74,0.972743,42.6357,0.711167,40.2133,0.871831,42.6357,0.787982,All
24.36,0.902938,24.36,0.959529,24.36,0.950927,43.7209,0.702328,40.2768,0.871247,43.7209,0.780782,All
24.4774,0.90125,24.4774,0.961931,24.4774,0.950135,45.4474,0.704766,41.7868,0.849391,45.4474,0.787013,All
24.98,0.894024,24.98,0.972213,24.98,0.946743,45.8717,0.705365,43.1983,0.825025,45.8717,0.788544,All
25.3197,0.891009,25.3197,0.964843,25.3197,0.944081,47.1738,0.707204,43.3604,0.822879,47.1738,0.793244,All
25.6,0.888618,25.6,0.958024,25.6,0.941866,48.9003,0.709642,44.934,0.812724,48.9003,0.799475,All
26.191,0.879409,26.191,0.942905,26.191,0.933563,49.3532,0.694999,46.3316,0.816496,49.3532,0.786478,All
26.22,0.878531,26.22,0.942088,26.22,0.932784,50.6268,0.675741,46.5076,0.817324,50.6268,0.768782,All
26.84,0.859718,26.84,0.924603,26.84,0.916098,52.3533,0.649635,48.0812,0.823103,52.3533,0.744793,All
27.0923,0.852092,27.0923,0.919187,27.0923,0.909696,53.0989,0.63836,49.6548,0.820533,53.0989,0.734433,All
27.46,0.841058,27.46,0.915589,27.46,0.901347,54.0798,0.623529,49.6922,0.820338,54.0798,0.720805,All
28.0246,0.824427,28.0246,0.909895,28.0246,0.888638,55.8062,0.637705,51.2284,0.811601,55.8062,0.734263,All
28.08,0.823471,28.08,0.908975,28.08,0.887634,57.1289,0.627305,52.802,0.80026,57.1289,0.725774,All
28.7,0.812769,28.7,0.898668,28.7,0.876383,57.5327,0.624131,53.2965,0.796835,57.5327,0.723183,All
28.989,0.807779,28.989,0.893864,28.989,0.871138,59.2592,0.610556,54.3756,0.790429,59.2592,0.712102,All
29.32,0.809849,29.32,0.894753,29.32,0.875716,60.9857,0.596982,55.9492,0.785818,60.9857,0.701022,All
29.94,0.814226,29.94,0.896829,29.94,0.884971,61.4648,0.593214,57.1623,0.786104,61.4648,0.697947,All
29.9866,0.814556,29.9866,0.896985,29.9866,0.885667,62.7122,0.583407,57.5228,0.78662,62.7122,0.689942,All
30.56,0.791376,30.56,0.883962,30.56,0.865066,64.4387,0.569832,59.0964,0.789963,64.4387,0.678861,All
31.0185,0.772318,31.0185,0.873261,31.0185,0.848035,66.1298,0.556535,60.67,0.792971,66.1298,0.668008,All
31.18,0.765608,31.18,0.869493,31.18,0.842038,66.1651,0.556258,61.3085,0.793485,66.1651,0.667781,All
31.8,0.73984,31.8,0.855025,31.8,0.81901,67.8916,0.542683,62.2436,0.793272,67.8916,0.656701,All
32.086,0.733594,32.086,0.850822,32.086,0.814378,69.6181,0.529109,63.8172,0.791209,69.6181,0.645621,All
32.42,0.741625,32.42,0.852624,32.42,0.825248,71.1489,0.521675,65.3908,0.787379,71.1489,0.640473,All
33.04,0.753586,33.04,0.854699,33.04,0.842186,71.3446,0.520909,65.7554,0.786248,71.3446,0.640002,All
33.1901,0.746145,33.1901,0.850741,33.1901,0.834924,73.0711,0.514151,66.9644,0.78216,73.0711,0.63585,All
33.66,0.722853,33.66,0.838352,33.66,0.812192,74.7975,0.507394,68.538,0.776285,74.7975,0.631697,All
34.28,0.700247,34.28,0.829171,34.28,0.791042,76.524,0.500636,70.1116,0.770301,76.524,0.627545,All
34.3323,0.699173,34.3323,0.829131,34.3323,0.790165,76.5488,0.500539,70.5249,0.768766,76.5488,0.627485,All
34.9,0.687506,34.9,0.828692,34.9,0.780632,78.2505,0.493878,71.6852,0.765105,78.2505,0.623392,All
35.5137,0.674895,35.5137,0.828219,35.5137,0.770327,79.977,0.48712,73.2588,0.760999,79.977,0.61924,All
35.52,0.674766,35.52,0.828214,35.52,0.770222,81.7035,0.480363,74.8324,0.757826,81.7035,0.615087,All
36.14,0.66575,36.14,0.830569,36.14,0.763721,82.3586,0.477798,75.6403,0.758039,82.3586,0.613511,All
36.7358,0.669359,36.7358,0.842172,36.7358,0.770354,83.4299,0.473605,76.406,0.758241,83.4299,0.610935,All
36.76,0.669505,36.76,0.842642,36.76,0.770623,85.1564,0.466847,77.9796,0.759025,85.1564,0.606782,All
37.38,0.67326,37.38,0.854715,37.38,0.777525,86.8829,0.46009,79.5532,0.765592,86.8829,0.60263,All
38,0.677015,38,0.866788,38,0.784426,88.6094,0.453332,81.1268,0.774322,88.6094,0.598477,All
