ID,time,prediction_pwRes,pwRes,pwRes_simBlq,prediction_iwRes_mean,iwRes_mean,iwRes_mean_simBlq,prediction_iwRes_mode,iwRes_mode,iwRes_mode_simBlq,prediction_npde,npde,npde_simBlq,censored,split,color,filter
8,34,55.2734,0.455649,0.455649,42.2765,0.633687,0.633687,43.9744,0.608184,0.608184,55.2734,0.54506,0.54506,0,All,#4682B4,0
8,36,69.9834,0.398227,0.398227,52.691,0.629921,0.629921,54.9342,0.603101,0.603101,69.9834,0.466595,0.466595,0,All,#4682B4,0
9,22,13.4131,0.781308,0.781308,11.7509,0.951178,0.951178,11.504,0.972163,0.972163,13.4131,0.814193,0.814193,0,All,#4682B4,0
9,24,16.9879,0.840914,0.840914,14.7047,1.10101,1.10101,14.368,1.12743,1.12743,16.9879,0.803222,0.803222,0,All,#4682B4,0
9,27,24.2023,0.56627,0.56627,20.5751,0.740829,0.740829,20.046,0.761092,0.761092,24.2023,0.665356,0.665356,0,All,#4682B4,0
9,28,27.233,0.673035,0.673035,23.0127,0.808963,0.808963,22.3992,0.831853,0.831853,27.233,0.776551,0.776551,0,All,#4682B4,0
9,32,43.656,0.460958,0.460958,36.014,0.660772,0.660772,34.9189,0.682335,0.682335,43.656,0.515221,0.515221,0,All,#4682B4,0
9,34,55.2734,0.346498,0.346498,45.0526,0.518556,0.518556,43.5985,0.536746,0.536746,55.2734,0.478503,0.478503,0,All,#4682B4,0
9,36,69.9834,0.372189,0.372189,56.3614,0.484098,0.484098,54.4372,0.502159,0.502159,69.9834,0.461966,0.461966,0,All,#4682B4,0
10,22,13.4131,0.648168,0.648168,12.0947,0.834295,0.834295,11.7027,0.86314,0.86314,13.4131,0.737318,0.737318,0,All,#4682B4,0
10,24,16.9879,0.970079,0.970079,15.1748,1.09136,1.09136,14.639,1.13228,1.13228,16.9879,1.02157,1.02157,0,All,#4682B4,0
10,27,24.2023,0.617746,0.617746,21.3165,0.814903,0.814903,20.4717,0.849637,0.849637,24.2023,0.671758,0.671758,0,All,#4682B4,0
10,28,27.233,0.690248,0.690248,23.8732,0.783215,0.783215,22.8928,0.817906,0.817906,27.233,0.711916,0.711916,0,All,#4682B4,0
10,32,43.656,0.58837,0.58837,37.557,0.715608,0.715608,35.7997,0.752055,0.752055,43.656,0.687761,0.687761,0,All,#4682B4,0
10,34,55.2734,0.496116,0.496116,47.1063,0.621472,0.621472,44.7678,0.655338,0.655338,55.2734,0.529513,0.529513,0,All,#4682B4,0
10,36,69.9834,0.323985,0.323985,59.0853,0.529789,0.529789,55.9843,0.560622,0.560622,69.9834,0.408166,0.408166,0,All,#4682B4,0
11,22,13.4131,0.693591,0.693591,11.3808,0.872241,0.872241,11.2224,0.884933,0.884933,13.4131,0.718047,0.718047,0,All,#4682B4,0
11,24,16.9879,0.732368,0.732368,14.2003,0.971075,0.971075,13.9848,0.986454,0.986454,16.9879,0.842625,0.842625,0,All,#4682B4,0
11,27,24.2023,0.565366,0.565366,19.7829,0.692956,0.692956,19.4454,0.705446,0.705446,24.2023,0.611097,0.611097,0,All,#4682B4,0
11,28,27.233,0.553662,0.553662,22.0944,0.769413,0.769413,21.7037,0.783747,0.783747,27.233,0.580487,0.580487,0,All,#4682B4,0
11,32,43.656,0.436686,0.436686,34.3764,0.653848,0.653848,33.6826,0.66787,0.66787,43.656,0.514355,0.514355,0,All,#4682B4,0
11,34,55.2734,0.353812,0.353812,42.8792,0.604052,0.604052,41.9603,0.617868,0.617868,55.2734,0.357675,0.357675,0,All,#4682B4,0
11,36,69.9834,0.269335,0.269335,53.4866,0.450451,0.450451,52.2737,0.461526,0.461526,69.9834,0.324929,0.324929,0,All,#4682B4,0
12,22,13.4131,0.684228,0.684228,11.9286,0.760092,0.760092,11.7123,0.774625,0.774625,13.4131,0.652094,0.652094,0,All,#4682B4,0
12,24,16.9879,0.895576,0.895576,14.9475,1.12671,1.12671,14.6521,1.14997,1.14997,16.9879,0.999352,0.999352,0,All,#4682B4,0
12,27,24.2023,0.673528,0.673528,20.9577,0.853536,0.853536,20.4923,0.873531,0.873531,24.2023,0.752652,0.752652,0,All,#4682B4,0
12,28,27.233,0.550341,0.550341,23.4567,0.791875,0.791875,22.9167,0.811167,0.811167,27.233,0.578927,0.578927,0,All,#4682B4,0
12,32,43.656,0.417703,0.417703,36.8091,0.66093,0.66093,35.8423,0.679482,0.679482,43.656,0.526559,0.526559,0,All,#4682B4,0
12,34,55.2734,0.561392,0.561392,46.1101,0.7066,0.7066,44.8244,0.727637,0.727637,55.2734,0.665704,0.665704,0,All,#4682B4,0
12,36,69.9834,0.344309,0.344309,57.7632,0.584388,0.584388,56.0593,0.602967,0.602967,69.9834,0.309607,0.309607,0,All,#4682B4,0
