ID	Time	Observation
0	7.0	50.02179539848303
0	11.0	309.5194932455848
0	12.0	324.8958781641081
0	13.0	450.8421203014078
0	14.0	572.4508141565823
0	15.0	664.3366056536318
0	18.0	1151.6937537246208
0	19.0	1338.383298764455
0	20.0	1522.807848701633
1	5.0	54.88637726417455
1	6.0	59.408036489368364
1	7.0	85.66227812433091
1	11.0	261.5727747726692
1	12.0	412.26564959477696
1	13.0	488.45073752090116
1	14.0	618.8547949138897
1	15.0	798.997211645358
1	18.0	1218.7210577012272
1	19.0	1415.471856377874
1	20.0	1410.1492083121404
1	21.0	1524.1265788182684
2	6.0	89.23129545401589
2	7.0	157.35150191894112
2	11.0	221.69858020868128
2	12.0	327.49225369585275
2	13.0	461.43796252851956
2	14.0	641.4449855177972
2	15.0	746.8684144567617
2	18.0	1359.4583887669266
2	19.0	1626.8743714136344
3	6.0	55.34858984292047
3	7.0	56.175813600111496
3	11.0	103.33090936738527
3	12.0	155.32034079347935
3	13.0	167.95867115836535
3	14.0	219.37868996319384
3	15.0	412.3783783167682
3	18.0	584.1922109176891
3	19.0	762.0740182098455
3	20.0	880.3257208235257
3	21.0	1040.0744296775545
3	22.0	1335.1364643277666
3	24.0	1850.4473331371962
4	5.0	68.80902212177456
4	6.0	59.8532891801739
4	7.0	58.98850244682147
4	11.0	179.66475903603973
4	12.0	309.7876470281246
4	13.0	470.5713216423529
4	14.0	480.9303139633229
4	15.0	488.7779825668599
4	18.0	1021.7210464277479
4	19.0	1278.530775085691
4	20.0	1377.3818445384904
4	21.0	1538.9220466032286
5	6.0	46.5023869583909
5	7.0	55.1551933991655
5	11.0	251.2222092503939
5	12.0	341.1754437434023
5	13.0	438.3353865403918
5	14.0	859.9527647363593
5	15.0	854.7279516254449
5	18.0	1143.279504645595
5	19.0	1645.406819685109
6	6.0	94.727972044795
6	7.0	126.094175546567
6	11.0	333.13661865167217
6	12.0	538.6807241701424
6	13.0	669.9296212775281
6	14.0	762.5276170651341
6	15.0	923.71764569353
6	18.0	2247.304040441583
7	11.0	201.16528822804986
7	12.0	316.3829668441979
7	13.0	338.24037310767426
7	14.0	411.95878824915224
7	15.0	586.6670162385178
7	18.0	991.8819842048551
7	19.0	1219.8999000273811
7	20.0	1833.0965514836712
8	6.0	18.567328851108414
8	7.0	73.29369432946014
8	11.0	126.82088875919538
8	12.0	222.66115843815462
8	13.0	244.72691355562065
8	14.0	333.6298356083164
8	15.0	367.4752677933733
8	18.0	805.7788498969377
8	19.0	1030.03428073659
8	20.0	1272.8188836901777
8	21.0	1555.3590766603022
9	6.0	26.880015999229876
9	11.0	144.15130032595448
9	12.0	193.40192478697062
9	13.0	281.1712334993475
9	14.0	294.88620651617464
9	15.0	391.8841405216111
9	18.0	744.9548703714602
9	19.0	990.3317857302934
9	20.0	1085.3149053640427
9	21.0	1331.1896673398942
9	22.0	1641.3339175973256
10	9.0	13.992143170282729
10	10.0	23.745011789033434
10	11.0	42.28482133569396
10	14.0	307.02286118619656
10	15.0	439.96227076802876
10	16.0	545.3449773358196
10	17.0	605.4682303795006
10	18.0	743.129822856815
10	21.0	963.1034545467762
10	22.0	1723.5774763733098
11	11.0	109.36799696684835
11	14.0	390.50949581532836
11	15.0	430.6381201143489
11	16.0	413.6458737696124
11	17.0	544.8649618751047
11	18.0	749.494752404841
11	21.0	1312.8315146288412
11	22.0	1414.755380044907
12	7.0	49.278027526535844
12	8.0	76.05821994279668
12	9.0	148.7813544460739
12	10.0	118.590956921156
12	11.0	202.4277587034447
12	14.0	568.5481806310371
12	15.0	1006.7546623888641
12	16.0	1085.0868058406386
12	17.0	1492.0555406787064
13	11.0	69.90043654237289
13	14.0	242.18387755474507
13	15.0	370.5333359702796
13	16.0	408.18566112116486
13	17.0	522.2351379854767
13	18.0	616.2508879373569
13	21.0	1142.689711465588
13	22.0	1705.0894585995372
14	4.0	34.1572048871967
14	7.0	153.56273908431672
14	8.0	240.71156125646098
14	9.0	279.2137406272173
14	10.0	423.0006130637627
14	11.0	424.6622485421362
14	14.0	1775.829648617801
15	7.0	67.3616443095735
15	8.0	73.27707268632875
15	9.0	81.92258277816539
15	10.0	141.1926761229048
15	11.0	291.4155294141274
15	14.0	719.3901198357675
15	15.0	891.2578391282776
15	16.0	1026.1245189373137
15	17.0	1387.774388545402
15	18.0	1734.6871695376144
16	9.0	95.99475645050202
16	10.0	268.43084483191825
16	11.0	375.77364655775403
16	14.0	639.0884883875127
16	15.0	924.3555973945214
16	16.0	889.9736900927768
16	17.0	1278.5391940304037
16	18.0	1702.2648720178495
17	9.0	70.74434843973977
17	10.0	94.62042485628709
17	11.0	118.28925092907588
17	14.0	326.41669070458687
17	15.0	477.2476908836975
17	16.0	617.3055158787779
17	17.0	847.3118922994178
17	18.0	1168.6470778307744
18	9.0	105.72628737194955
18	10.0	193.44843083021925
18	11.0	247.5372608686061
18	14.0	660.6450374125241
18	15.0	677.3302307744839
18	16.0	844.1079851083465
18	17.0	1020.2474965307489
18	18.0	1257.9303587892255
19	7.0	68.87737061154606
19	8.0	113.91802006131513
19	9.0	133.385527257815
19	10.0	213.2005631795417
19	11.0	450.5008894085541
19	14.0	842.8523428845841
19	15.0	1069.6349860465145
19	16.0	1083.3451581861682
19	17.0	1106.7559966702443
19	18.0	1289.6022685777234
