rep,id,V0,a,eta_V0,eta_a
1,1,1,0.123783301038818,0,0.0481921150315512
1,2,1,0.118336038559673,0,0.00318801209354724
1,3,1,0.124555231017116,0,0.0544088906406706
1,4,1,0.107150443797318,0,-0.0961064857769203
1,5,1,0.111968992081245,0,-0.0521183729742778
1,6,1,0.107491202408829,0,-0.092931343358706
1,7,1,0.121255246314058,0,0.0275574479309806
1,8,1,0.113853423139402,0,-0.0354284903617734
1,9,1,0.107550752207723,0,-0.0923774998027218
1,10,1,0.115127782402048,0,-0.0242976867064169
1,11,1,0.106501163143161,0,-0.102184442898237
1,12,1,0.107708709174956,0,-0.0909099034929461
1,13,1,0.116730025869321,0,-0.0104765522388277
1,14,1,0.109378072207141,0,-0.0755299164858054
1,15,1,0.118211085938824,0,0.00213154072248001
1,16,1,0.134694166994658,0,0.132666429281211
1,17,1,0.119889730636026,0,0.0162320594376228
1,18,1,0.126986989139478,0,0.0737442839697149
1,19,1,0.129614557767663,0,0.0942247565438858
1,20,1,0.134729125462771,0,0.132925935190963
1,21,1,0.115343985653714,0,-0.0224215062361539
1,22,1,0.119504907486566,0,0.0130170878414262
1,23,1,0.112629156929765,0,-0.0462397247964739
1,24,1,0.111200651018431,0,-0.0590041132384651
1,25,1,0.110707547920014,0,-0.0634483285706153
1,26,1,0.110449876977434,0,-0.0657785334849854
1,27,1,0.123685555613656,0,0.0474021535667624
1,28,1,0.110901804551769,0,-0.0616951834136703
1,29,1,0.12738640558552,0,0.0768846813743296
1,30,1,0.125761108364472,0,0.0640437924526776
1,31,1,0.117916802427211,0,-0.000361037905259209
1,32,1,0.116550508761508,0,-0.0120156188697642
1,33,1,0.105553637737271,0,-0.111121111231593
1,34,1,0.106089411453578,0,-0.106058106678808
1,35,1,0.105529655299029,0,-0.111348343221394
1,36,1,0.104906662591022,0,-0.117269322397663
1,37,1,0.114671217456884,0,-0.0282712944783383
1,38,1,0.119240100727122,0,0.0107987640321241
1,39,1,0.109255707885012,0,-0.07664927082212
1,40,1,0.098147142201054,0,-0.183872545868972
1,41,1,0.110843662997035,0,-0.0622195824619083
1,42,1,0.112872989198311,0,-0.0440771523530512
1,43,1,0.106512437908681,0,-0.102078583314862
1,44,1,0.124841909702546,0,0.056707864966254
1,45,1,0.132792348173707,0,0.118446266688283
1,46,1,0.129940712924324,0,0.0967379424827501
1,47,1,0.11625500224293,0,-0.0145542759316992
1,48,1,0.121455344932242,0,0.0292063142823973
1,49,1,0.103834331219867,0,-0.127543689542681
1,50,1,0.119523759008733,0,0.0131748222461137
1,51,1,0.112167873149676,0,-0.0503437329977521
1,52,1,0.125714428700986,0,0.0636725462903955
1,53,1,0.133460646264608,0,0.123466300327927
1,54,1,0.128659790734666,0,0.0868312899626358
1,55,1,0.101676537052661,0,-0.148543780529441
1,56,1,0.126239918061188,0,0.0678438585055443
1,57,1,0.113039189566858,0,-0.0426057806063884
1,58,1,0.131060660885412,0,0.105319926695747
1,59,1,0.122605655206337,0,0.038632800212925
1,60,1,0.123747479937045,0,0.0479026875762512
1,61,1,0.105914711106145,0,-0.107706191488358
1,62,1,0.106721315538286,0,-0.100119440420841
1,63,1,0.120410770952612,0,0.0205686390926321
1,64,1,0.117936219321315,0,-0.000196385411057154
1,65,1,0.126032815560034,0,0.0662019644751641
